Area,Obs,Exp,Cov,Long,Lat
55,0,0,1.6,3.38,55.68
56,0,0,1,3.4,55.18
51,1,3.436426117,0.1,4.27,56
52,1,3.623188406,0,4.64,56.15
53,1,5.747126437,0.1,4.7,55.79
54,1,7.042253521,0.1,4.45,55.99
17,2,1.070090958,1,4.09,57.06
43,2,4.319654428,1.6,3.96,56.15
47,2,5.586592179,0.1,4.45,55.71
13,3,1.079913607,1,3.98,57.47
32,3,2.879078695,2.4,4.36,55
46,3,8.196721311,0.7,4.75,55.65
48,3,9.345794393,0.1,4.27,55.79
40,4,5.270092227,0,4.91,56.05
12,5,1.79018976,1.6,4.64,58.06
31,5,4.748338082,0.7,4.55,55.47
9,6,1.98019802,0.7,5.42,56.9
39,6,7.202881152,1.6,4.99,56.15
44,6,14.63414634,0,4.09,55.82
50,6,19.60784314,0.1,3.2,56.45
8,7,2.300361485,0.7,1.43,60.24
18,7,4.179104478,0.7,2.88,55.65
20,7,4.438807863,1,2.9,55.35
24,7,5.617977528,0.7,3.96,55.63
27,7,6.039689387,0.7,4.09,55.24
33,7,7.02811245,1,3.2,55.83
6,8,2.400240024,2.4,3.25,59.13
14,8,3.309888291,2.4,5,54.94
34,8,8.528784648,0.7,4.73,56.3
38,8,9.345794393,0.1,4.18,55.91
42,8,15.7790927,1.6,4,56.03
1,9,1.379944802,1.6,5.5,57.29
4,9,2.530222097,2.4,2.4,55.76
16,9,4.550050556,1.6,3,57
19,9,5.53165335,0.7,4.73,57.24
36,9,10.1010101,0,4.95,55.94
28,10,8.960573477,0.7,2.8,55.95
41,10,18.76172608,0.1,4.82,55.88
3,11,3.040353787,1,3.9,58.44
23,11,8.771929825,1,5.27,56.4
30,11,10.20408163,1,3.8,55.9
35,11,12.31802912,0.7,4.98,55.29
37,11,12.67281106,1,5.02,55.76
11,13,4.399323181,0.7,6.8,58.12
5,15,4.260153366,1,5.09,57.71
26,15,12.48959201,0.1,3.6,56.1
21,16,10.45751634,0.7,2.98,56.75
29,16,14.37556155,1,4.09,56.6
15,17,7.841328413,0.7,3.1,56.3
25,19,15.4723127,0.1,3.3,56.2
45,19,50.66666667,0.1,3.4,55.93
10,20,6.629101757,1.6,2.6,57.24
7,26,8.109794136,1,3.3,57.47
49,28,88.60759494,0,4.55,55.9
22,31,22.67739576,1.6,2.2,57.12
2,39,8.660892738,1.6,2.36,57.56
